
#69.0238
#Fondé en 1905, l'industriel lyonnais a successivement évolué dans le giron de Schneider Electric et de Siemens, avant de gagner son indépendance en 2006, avec l'aide de l'investisseur américain AIAC.
1	Fondé	fonder	VERB	BN	O	10	advcl
2	en	en	ADP	IN	O	3	case
3	1905	1905	NUM	IN	O	1	obl:mod
4	,	,	PUNCT	O	O	10	punct
5	l'	le	DET	O	O	6	det
6	industriel	industriel	NOUN	O	O	10	nsubj
7	lyonnais	lyonnais	ADJ	O	O	6	amod
8	a	avoir	AUX	BR	O	10	aux:tense
9	successivement	successivement	ADV	IR	O	10	advmod
10	évolué	évoluer	VERB	IR	O	10	ROOT
11	dans	dans	ADP	ER	O	13	case
12	le	le	DET	BO	O	13	det
13	giron	giron	NOUN	IL	O	10	obl:arg
14	de	de	ADP	IL	O	15	case
15	Schneider	Schneider	PROPN	BO	EI	13	nmod
16	Electric	Electric	PROPN	EO	EI	15	flat:name
17	et	et	CCONJ	O	O	19	cc
18	de	de	ADP	O	O	19	case
19	Siemens	Siemens	PROPN	BO	O	15	conj
20	,	,	PUNCT	O	O	10	punct
21	avant	avant	ADP	BR	O	23	mark
22	de	de	ADP	ER	O	23	mark
23	gagner	gagner	VERB	IN	O	10	advcl
24	son	son	DET	IN	O	25	det
25	indépendance	indépendance	NOUN	EN	O	23	obj
26	en	en	ADP	BT	O	27	case
27	2006	2006	NUM	ET	O	23	obl:mod
28	,	,	NUM	ET	O	10	punct
29	avec	avec	ADP	O	O	31	case
30	l'	le	DET	O	O	31	det
31	aide	aide	NOUN	O	O	10	obl:mod
32	de	de	ADP	O	O	34	case
33	l'	le	DET	BO	O	34	det
34	investisseur	investisseur	NOUN	BN	O	31	nmod
35	américain	américain	ADJ	BO	BI	34	amod
36	AIAC	AIAC	PROPN	EO	EI	34	appos
37	.	.	PUNCT	O	O	10	punct


#C'est en novembre 2008 que ce dernier a mis sa participation en vente.
1	C'	ce	PRON	BN	O	4	expl:subj
2	est	être	AUX	IN	O	4	cop
3	en	en	ADP	BT	O	4	case
4	novembre	novembre	NOUN	IT	O	4	ROOT
5	2008	2008	NUM	ET	O	4	nmod
6	que	que	PRON	O	O	10	iobj
7	ce	ce	DET	O	O	8	det
8	dernier	dernier	ADJ	O	O	10	nsubj
9	a	avoir	AUX	BN	O	10	aux:tense
10	mis	mettre	VERB	EN	O	4	dep
11	sa	son	DET	BO	O	12	det
12	participation	participation	NOUN	EO	O	10	obj
13	en	en	ADP	O	O	14	case
14	vente	vente	NOUN	O	O	10	obl:arg
15	.	.	PUNCT	O	O	4	punct


#Le fabricant de transformateurs électriques accueille désormais le fonds de capital-investissement Siparex à son tour de table.
1	Le	le	DET	BO	O	2	det
2	fabricant	fabricant	NOUN	IO	O	6	nsubj
3	de	de	ADP	IO	O	4	case
4	transformateurs	transformateur	NOUN	IO	O	2	nmod
5	électriques	électrique	ADJ	EO	O	4	amod
6	accueille	accueillir	VERB	BN	O	6	ROOT
7	désormais	désormais	ADV	EN	O	6	advmod
8	le	le	DET	BO	O	9	det
9	fonds	fonds	NOUN	IO	O	6	obj
10	de	de	ADP	IO	O	11	case
11	capital	capital	NOUN	IO	O	9	nmod
12	-	-	NOUN	IO	O	9	nmod
13	investissement	investissement	NOUN	EO	O	9	nmod
14	Siparex	Siparex	PROPN	EO	EI	9	nmod
15	à	à	ADP	O	O	17	case
16	son	son	DET	O	O	17	det
